Months,AT,Flow,Gap,Goal,Stock
0,5,-16,-80,20,100
0.25,5,-15.2,-76,20,96
0.5,5,-14.44,-72.2,20,92.2
0.75,5,-13.718,-68.59,20,88.59
1,5,-13.0321,-65.1605,20,85.1605
1.25,5,-12.380495,-61.902475,20,81.902475
1.5,5,-11.76147025,-58.80735125,20,78.80735125
1.75,5,-11.1733967375,-55.8669836875,20,75.8669836875
2,5,-10.6147269006,-53.0736345031,20,73.0736345031
2.25,5,-10.0839905556,-50.419952778,20,70.419952778
2.5,5,-9.57979102781,-47.8989551391,20,67.8989551391
2.75,5,-9.10080147642,-45.5040073821,20,65.5040073821
3,5,-8.6457614026,-43.228807013,20,63.228807013
3.25,5,-8.21347333247,-41.0673666624,20,61.0673666624
3.5,5,-7.80279966585,-39.0139983292,20,59.0139983292
3.75,5,-7.41265968256,-37.0632984128,20,57.0632984128
4,5,-7.04202669843,-35.2101334921,20,55.2101334921
4.25,5,-6.68992536351,-33.4496268175,20,53.4496268175
4.5,5,-6.35542909533,-31.7771454767,20,51.7771454767
4.75,5,-6.03765764056,-30.1882882028,20,50.1882882028
5,5,-5.73577475854,-28.6788737927,20,48.6788737927
5.25,5,-5.44898602061,-27.244930103,20,47.244930103
5.5,5,-5.17653671958,-25.8826835979,20,45.8826835979
5.75,5,-4.9177098836,-24.588549418,20,44.588549418
6,5,-4.67182438942,-23.3591219471,20,43.3591219471
6.25,5,-4.43823316995,-22.1911658497,20,42.1911658497
6.5,5,-4.21632151145,-21.0816075573,20,41.0816075573
6.75,5,-4.00550543588,-20.0275271794,20,40.0275271794
7,5,-3.80523016409,-19.0261508204,20,39.0261508204
7.25,5,-3.61496865588,-18.0748432794,20,38.0748432794
7.5,5,-3.43422022309,-17.1711011154,20,37.1711011154
7.75,5,-3.26250921193,-16.3125460597,20,36.3125460597
8,5,-3.09938375134,-15.4969187567,20,35.4969187567
